City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Iberia,US,29.9502,-91.7507,63.05,88,1,0.0,clear sky
285,Linhares,BR,-19.3911,-40.0722,69.51,96,100,8.08,overcast clouds
286,Skjervoy,NO,70.0311,20.9714,33.82,57,100,25.01,light snow
287,San Rafael,AR,-34.6177,-68.3301,75.29,34,33,6.02,scattered clouds
288,Agirish,RU,61.9247,63.0231,21.11,96,97,4.81,overcast clouds
289,Skibbereen,IE,51.55,-9.2667,42.6,76,2,9.64,clear sky
290,Borogontsy,RU,62.6683,131.1683,-20.22,95,83,0.76,broken clouds
291,Adrar,MR,20.5022,-10.0711,79.38,25,100,7.85,overcast clouds
292,Rio Pardo De Minas,BR,-15.6097,-42.5397,68.79,93,100,2.04,overcast clouds
293,Maniitsoq,GL,65.4167,-52.9,33.26,82,100,27.54,light snow
294,Portland,US,45.5234,-122.6762,47.14,84,94,2.15,overcast clouds
295,Molokovo,RU,58.1661,36.7628,31.01,85,100,13.58,overcast clouds
296,Beisfjord,NO,68.3751,17.5988,31.24,93,82,1.41,light snow
297,Ostrovnoy,RU,68.0531,39.5131,28.33,88,100,2.26,overcast clouds
298,Seabra,BR,-12.4186,-41.7703,67.87,88,70,2.01,broken clouds
299,Odweyne,SO,9.4092,45.064,64.78,44,80,6.67,broken clouds
300,Bilibino,RU,68.0546,166.4372,-14.37,81,42,3.58,scattered clouds
301,Narnaul,IN,28.0444,76.1083,64.65,26,0,1.74,clear sky
302,Nara,JP,34.6851,135.8049,64.49,40,92,2.06,overcast clouds
303,Palu,ID,-0.8917,119.8707,90.14,58,56,1.92,broken clouds
304,Coahuayana,MX,18.7333,-103.6833,85.48,70,6,3.56,clear sky
305,Isangel,VU,-19.55,169.2667,84.31,70,75,6.91,broken clouds
306,Sitka,US,57.0531,-135.33,37.29,81,90,33.38,light rain
307,Bodden Town,KY,19.2833,-81.25,82.4,87,20,1.01,few clouds
308,Ko Samui,TH,9.5357,99.9357,85.91,79,20,0.0,few clouds
309,Moose Factory,CA,51.2585,-80.6094,35.6,93,90,17.27,light rain
310,Bhainsa,IN,26.9548,76.9012,67.28,83,0,2.8,clear sky
311,Lamu,KE,-2.2717,40.902,80.82,82,100,9.31,overcast clouds
312,Olafsvik,IS,64.8945,-23.7142,36.54,98,100,21.61,overcast clouds
313,Egvekinot,RU,66.3167,-179.1667,-1.55,71,0,9.19,clear sky
314,Khatanga,RU,71.9667,102.5,-18.54,99,100,4.81,overcast clouds
315,Maceio,BR,-9.6658,-35.7353,76.44,83,40,4.61,scattered clouds
316,Guerrero Negro,MX,27.9769,-114.0611,62.89,84,100,12.08,overcast clouds
317,Vardo,NO,70.3705,31.1107,30.54,71,100,33.46,light snow
318,Seybaplaya,MX,19.65,-90.6667,78.26,89,100,7.2,overcast clouds
319,Creel,MX,27.75,-107.6333,47.26,48,21,3.0,few clouds
320,Cabo Rojo,PR,18.0866,-67.1457,78.01,85,19,6.13,few clouds
